Incident Number,Exposure Number,ID,Address,Incident Date,Call Number,Alarm DtTm,Arrival DtTm,Close DtTm,City,zipcode,Battalion,Station Area,Box,Suppression Units,Suppression Personnel,EMS Units,EMS Personnel,Other Units,Other Personnel,First Unit On Scene,Estimated Property Loss,Estimated Contents Loss,Fire Fatalities,Fire Injuries,Civilian Fatalities,Civilian Injuries,Number of Alarms,Primary Situation,Mutual Aid,Action Taken Primary,Action Taken Secondary,Action Taken Other,Detector Alerted Occupants,Property Use,Area of Fire Origin,Ignition Cause,Ignition Factor Primary,Ignition Factor Secondary,Heat Source,Item First Ignited,Human Factors Associated with Ignition,Structure Type,Structure Status,Floor of Fire Origin,Fire Spread,No Flame Spread,Number of floors with minimum damage,Number of floors with significant damage,Number of floors with heavy damage,Number of floors with extreme damage,Detectors Present,Detector Type,Detector Operation,Detector Effectiveness,Detector Failure Reason,Automatic Extinguishing System Present,Automatic Extinguishing Sytem Type,Automatic Extinguishing Sytem Perfomance,Automatic Extinguishing Sytem Failure Reason,Number of Sprinkler Heads Operating,Supervisor District,neighborhood_district,point,data_as_of,data_loaded_at
20026954,0,200269540,BRADY STREET,2020/03/02,200620745,2020/03/02 08:18:09 AM,2020/03/02 08:24:36 AM,2020/03/02 08:26:30 AM,San Francisco,94103,B02,36,5115,1,4,0,0,0,0,,,,0,0,0,0,1,522 Water or steam leak,N None,61 Restore municipal services,,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Mission,POINT (-122.420778 37.773163),2020/03/02 08:26:30 AM,2025/03/16 02:20:48 AM
20026958,0,200269580,641 ARKANSAS STREET,2020/03/02,200620806,2020/03/02 08:34:17 AM,2020/03/02 08:38:34 AM,2020/03/02 09:13:09 AM,San Francisco,94107,B10,37,2543,1,4,0,0,0,0,,,,0,0,0,0,1,"440 Electrical  wiring/equipment problem, other",N None,78 Control traffic,,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,NA,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.397962 37.758141),2020/03/02 09:13:09 AM,2025/03/16 02:20:48 AM
20026960,0,200269600,3919 WASHINGTON STREET,2020/03/02,200620817,2020/03/02 08:37:32 AM,2020/03/02 08:44:41 AM,2020/03/02 08:50:18 AM,San Francisco,94118,B07,10,4442,4,14,0,0,0,0,,,,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,2,Presidio Heights,POINT (-122.457671 37.788552),2020/03/02 08:50:18 AM,2025/03/16 02:20:48 AM
20026963,0,200269630,220 HALLECK STREET,2020/03/02,200620832,2020/03/02 08:40:50 AM,2020/03/02 08:40:50 AM,2020/03/02 08:57:39 AM,Presidio,94129,B04,51,4612,1,4,0,0,0,0,,,,0,0,0,0,1,"651 Smoke scare, odor of smoke",N None,86 Investigate,,,,599 Business office,,,,,,,,,,,,NA,,,,,,,,,,,,,,,2,Presidio,POINT (-122.454828 37.801385),2020/03/02 08:57:39 AM,2025/03/16 02:20:48 AM
20026970,0,200269700,2350 GREEN STREET,2020/03/02,200620866,2020/03/02 08:49:41 AM,2020/03/02 08:53:38 AM,2020/03/02 08:58:34 AM,San Francisco,94123,B04,16,3612,3,10,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,"00 Action taken, other",,,,"213 Elementary school, including kindergarten",,,,,,,,,,,,NA,,,,,,,,,,,,,,,2,Marina,POINT (-122.437854 37.796112),2020/03/02 08:58:34 AM,2025/03/16 02:20:48 AM
20026974,0,200269740,433 ELLIS STREET,2020/03/02,200620927,2020/03/02 09:09:30 AM,2020/03/02 09:13:24 AM,2020/03/02 09:17:54 AM,San Francisco,94102,B03,03,1461,3,11,0,0,0,0,,,,0,0,0,0,1,"113 Cooking fire, confined to container",N None,86 Investigate,,,1 Detector alerted occupants,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Tenderloin,POINT (-122.413339 37.784726),2020/03/02 09:17:54 AM,2025/03/16 02:20:48 AM
20026979,0,200269790,274 SUSSEX STREET,2020/03/02,200621021,2020/03/02 09:32:44 AM,2020/03/02 09:37:13 AM,2020/03/02 09:39:16 AM,San Francisco,94131,B06,26,8147,1,4,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,,NNN None,,,,,,,,,,,,NA,,,,,,,,,,,,,,,8,Glen Park,POINT (-122.437688 37.736636),2020/03/02 09:39:16 AM,2025/03/16 02:20:48 AM
20026987,0,200269870,106 6TH STREET,2020/03/02,200621109,2020/03/02 09:54:20 AM,2020/03/02 09:58:35 AM,2020/03/02 10:15:24 AM,San Francisco,94103,B03,01,2251,1,5,0,0,0,0,,,,0,0,0,0,1,353 Removal of victim(s) from stalled elevator,N None,"22 Rescue, remove from harm",,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,South of Market,POINT (-122.408662 37.78063),2020/03/02 10:15:24 AM,2025/03/16 02:20:48 AM
20026989,0,200269890,1881 POST STREET,2020/03/02,200621130,2020/03/02 10:00:16 AM,2020/03/02 10:03:59 AM,2020/03/02 10:10:35 AM,San Francisco,94115,B04,05,3513,3,10,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,63 Restore fire alarm system,,,,183 Movie theater,,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Japantown,POINT (-122.432701 37.78513),2020/03/02 10:10:35 AM,2025/03/16 02:20:48 AM
20027000,0,200270000,1149 22ND STREET,2020/03/02,200621223,2020/03/02 10:25:27 AM,2020/03/02 10:32:59 AM,2020/03/02 10:39:27 AM,San Francisco,94107,B10,25,2535,1,4,0,0,0,0,,,,0,0,0,0,1,"651 Smoke scare, odor of smoke",N None,86 Investigate,,,,"960 Street, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.392453 37.757637),2020/03/02 10:39:27 AM,2025/03/16 02:20:48 AM
20027008,0,200270080,1139 MARKET ST 218 STREET,2020/03/02,200621250,2020/03/02 10:31:40 AM,2020/03/02 10:35:45 AM,2020/03/02 11:10:09 AM,San Francisco,94103,B02,36,2316,9,34,5,7,1,2,,2000,1000,0,0,0,0,1,111 Building fire,N None,11 Extinguishment by fire service personnel,,,,"439 Boarding/rooming house, residential hotels",21 Bedroom - < 5 persons; included are jail or prison,2 Unintentional,11 Abandoned or discarded materials or products,,"40 Hot or smoldering object, other","32 Bedding; blanket, sheet, comforter",3 Unattended or unsupervised person,1 Enclosed building,2 In normal use,3,,NO,,,,,1 Present,1 Smoke,2 Detector operated,"1 Detector alerted occupants, occupants responded",,1 Present,1 Wet-pipe sprinkler system,3 Fire too small to activate system,,,6,South of Market,POINT (-122.413152 37.779882),2020/03/02 11:10:09 AM,2025/03/16 02:20:48 AM
20027012,0,200270120,FULTON STREET,2020/03/02,200621270,2020/03/02 10:36:59 AM,2020/03/02 10:42:41 AM,2020/03/02 10:53:53 AM,San Francisco,94102,B02,05,3412,1,4,0,0,0,0,,,,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,86 Investigate,,,,"960 Street, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Western Addition,POINT (-122.425001 37.778538),2020/03/02 10:53:53 AM,2025/03/16 02:20:48 AM
20027016,0,200270160,THE EMBARCADERO SOU,2020/03/02,200621300,2020/03/02 10:45:13 AM,2020/03/02 10:58:49 AM,2020/03/02 11:34:06 AM,San Francisco,94105,B03,35,2121,1,4,1,2,0,0,,,,0,0,0,0,1,322 Motor vehicle accident with injuries,N None,33 Provide advanced life support (ALS),,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.387853 37.787096),2020/03/02 11:34:06 AM,2025/03/16 02:20:48 AM
20027018,0,200270180,1661 15TH STREET,2020/03/02,200621328,2020/03/02 10:52:41 AM,2020/03/02 10:56:30 AM,2020/03/02 11:02:18 AM,San Francisco,94103,B02,06,5226,4,12,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,9,Mission,POINT (-122.421213 37.76652),2020/03/02 11:02:18 AM,2025/03/16 02:20:48 AM
20027023,0,200270230,SACRAMENTO STREET,2020/03/02,200621377,2020/03/02 11:06:36 AM,2020/03/02 11:14:22 AM,2020/03/02 11:35:59 AM,San Francisco,94118,B04,10,4412,1,5,0,0,0,0,,,,0,0,0,0,1,"550 Public service assistance, other",N None,"70 Assistance, other",,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,2,Presidio Heights,POINT (-122.448657 37.787975),2020/03/02 11:35:59 AM,2025/03/16 02:20:48 AM
20027024,0,200270240,639 BUSH STREET,2020/03/02,200621390,2020/03/02 11:10:43 AM,2020/03/02 11:15:27 AM,2020/03/02 11:26:29 AM,San Francisco,94108,B01,02,1361,3,11,0,0,0,0,,,,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,63 Restore fire alarm system,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.407738 37.790222),2020/03/02 11:26:29 AM,2025/03/16 02:20:48 AM
20027046,0,200270460,600 32ND AVENUE,2020/03/02,200621616,2020/03/02 12:08:29 PM,2020/03/02 12:12:33 PM,2020/03/02 12:20:58 PM,San Francisco,94121,B07,14,0724,3,10,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,,,,215 High school/junior high school/middle school,,,,,,,,,,,,NA,,,,,,,,,,,,,,,1,Outer Richmond,POINT (-122.491741 37.777839),2020/03/02 12:20:58 PM,2025/03/16 02:20:48 AM
20027054,0,200270540,1866 40TH AVENUE,2020/03/02,200621665,2020/03/02 12:17:42 PM,2020/03/02 12:19:06 PM,2020/03/02 12:36:18 PM,San Francisco,94122,B08,18,7633,3,10,0,0,0,0,,,,0,0,0,0,1,"746 Carbon monoxide detector activation, no CO",N None,"00 Action taken, other",,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,4,Sunset/Parkside,POINT (-122.498799 37.752018),2020/03/02 12:36:18 PM,2025/03/16 02:20:48 AM
20027061,0,200270610,1940 BROADWAY,2020/03/02,200621745,2020/03/02 12:40:40 PM,2020/03/02 12:44:13 PM,2020/03/02 12:49:08 PM,San Francisco,94123,B04,38,3355,3,10,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,63 Restore fire alarm system,,,,UUU Undetermined,,,,,,,,,,,,NA,,,,,,,,,,,,,,,2,Pacific Heights,POINT (-122.429048 37.795085),2020/03/02 12:49:08 PM,2025/03/16 02:20:48 AM
20027062,0,200270620,555 PINE STREET,2020/03/02,200621749,2020/03/02 12:41:12 PM,2020/03/02 12:44:32 PM,2020/03/02 12:58:04 PM,San Francisco,94108,B01,13,1243,3,11,0,0,0,0,,,,0,0,0,0,1,733 Smoke detector activation due to malfunction,N None,86 Investigate,,,,"500 Mercantile, business, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,Financial District/South Beach,POINT (-122.405097 37.791511),2020/03/02 12:58:04 PM,2025/03/16 02:20:48 AM
20027068,0,200270680,350 GIRARD STREET,2020/03/02,200621811,2020/03/02 12:58:59 PM,2020/03/02 01:01:54 PM,2020/03/02 01:06:09 PM,San Francisco,94134,B10,42,0634,3,10,0,0,0,0,,,,0,0,0,0,1,"118 Trash or rubbish fire, contained",N None,87 Investigate fire out on arrival,,,1 Detector alerted occupants,215 High school/junior high school/middle school,,,,,,,,,,,,NA,,,,,,,,,,,,,,,9,Portola,POINT (-122.405827 37.727717),2020/03/02 01:06:09 PM,2025/03/16 02:20:48 AM
20027071,0,200270710,815 TENNESSEE STREET,2020/03/02,200621825,2020/03/02 01:01:23 PM,2020/03/02 01:05:27 PM,2020/03/02 01:16:30 PM,San Francisco,94107,B10,37,2471,3,10,0,0,0,0,,,,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,10,Potrero Hill,POINT (-122.389502 37.761486),2020/03/02 01:16:30 PM,2025/03/16 02:20:48 AM
20027073,0,200270730,455 BAY STREET,2020/03/02,200621828,2020/03/02 01:02:31 PM,2020/03/02 01:06:05 PM,2020/03/02 01:10:51 PM,San Francisco,94133,B01,28,1425,3,11,0,0,0,0,,,,0,0,0,0,1,"743 Smoke detector activation, no fire - unintentional",N None,86 Investigate,63 Restore fire alarm system,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,North Beach,POINT (-122.414489 37.80544),2020/03/02 01:10:51 PM,2025/03/16 02:20:48 AM
20027074,0,200270740,6TH STREET,2020/03/02,200621831,2020/03/02 01:02:38 PM,2020/03/02 01:05:15 PM,2020/03/02 01:13:22 PM,San Francisco,94103,B02,01,2248,5,19,1,1,0,0,,,,0,0,0,0,1,"311 Medical assist, assist EMS crew",N None,86 Investigate,,,,"962 Residential street, road or residential driveway",,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,South of Market,POINT (-122.410293 37.78223),2020/03/02 01:13:22 PM,2025/03/16 02:20:48 AM
20027078,0,200270780,1 AMETHYST WAY,2020/03/02,200621844,2020/03/02 01:04:59 PM,2020/03/02 01:10:00 PM,2020/03/02 01:25:19 PM,San Francisco,94131,B06,26,8166,3,10,0,0,0,0,,,,0,0,0,0,1,"745 Alarm system activation, no fire - unintentional",N None,86 Investigate,,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,8,Noe Valley,POINT (-122.445312 37.746061),2020/03/02 01:25:19 PM,2025/03/16 02:20:48 AM
20027079,0,200270790,1700 MONTGOMERY STREET,2020/03/02,200621860,2020/03/02 01:10:05 PM,2020/03/02 01:13:00 PM,2020/03/02 01:17:57 PM,San Francisco,94133,B01,28,1223,3,11,0,0,0,0,,,,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,86 Investigate,63 Restore fire alarm system,,,"500 Mercantile, business, other",,,,,,,,,,,,NA,,,,,,,,,,,,,,,3,North Beach,POINT (-122.405106 37.804842),2020/03/02 01:17:57 PM,2025/03/16 02:20:48 AM
20027081,0,200270810,169 SAN ALESO AVENUE,2020/03/02,200621877,2020/03/02 01:13:37 PM,2020/03/02 01:18:47 PM,2020/03/02 01:20:16 PM,San Francisco,94127,B09,39,8536,3,11,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,"00 Action taken, other",,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,7,West of Twin Peaks,POINT (-122.465207 37.73068),2020/03/02 01:20:16 PM,2025/03/16 02:20:48 AM
20027092,0,200270920,880 MARKET STREET,2020/03/02,200621983,2020/03/02 01:40:44 PM,2020/03/02 01:45:21 PM,2020/03/02 01:52:17 PM,San Francisco,94103,B03,13,1322,1,4,0,0,0,0,,,,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,11 Extinguishment by fire service personnel,,,,963 Street or road in commercial area,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.407253 37.784727),2020/03/02 01:52:17 PM,2025/03/16 02:20:48 AM
20027094,0,200270940,2525 SUTTER ST 131,2020/03/02,200622018,2020/03/02 01:51:08 PM,2020/03/02 01:53:44 PM,2020/03/02 02:13:50 PM,San Francisco,94115,B05,10,4262,3,10,0,0,0,0,,,,0,0,0,0,1,"744 Detector activation, no fire - unintentional",N None,86 Investigate,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Japantown,POINT (-122.441972 37.784911),2020/03/02 02:13:50 PM,2025/03/16 02:20:48 AM
20027097,0,200270970,1700 BUSH ST 14,2020/03/02,200622082,2020/03/02 02:07:21 PM,2020/03/02 02:10:02 PM,2020/03/02 02:21:15 PM,San Francisco,94109,B04,38,3255,3,10,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,63 Restore fire alarm system,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Pacific Heights,POINT (-122.425336 37.788126),2020/03/02 02:21:15 PM,2025/03/16 02:20:48 AM
20027103,0,200271030,421 LEAVENWORTH ST 4TH,2020/03/02,200622160,2020/03/02 02:26:26 PM,2020/03/02 02:29:39 PM,2020/03/02 02:34:07 PM,San Francisco,94102,B04,03,1544,3,11,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Tenderloin,POINT (-122.414754 37.784991),2020/03/02 02:34:07 PM,2025/03/16 02:20:48 AM
20027105,0,200271050,201 LEAVENWORTH STREET,2020/03/02,200622169,2020/03/02 02:29:51 PM,2020/03/02 02:33:09 PM,2020/03/02 02:40:59 PM,San Francisco,94109,B02,03,1545,6,22,0,0,0,0,,,,0,0,0,0,1,"700 False alarm or false call, other",N None,86 Investigate,,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Tenderloin,POINT (-122.414274 37.782987),2020/03/02 02:40:59 PM,2025/03/16 02:20:48 AM
20027107,0,200271070,731 MARKET STREET,2020/03/02,200622191,2020/03/02 02:35:32 PM,2020/03/02 02:39:44 PM,2020/03/02 02:41:17 PM,San Francisco,94105,B03,01,2211,1,4,0,0,0,0,,,,0,0,0,0,1,"151 Outside rubbish, trash or waste fire",N None,86 Investigate,,,,NNN None,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Financial District/South Beach,POINT (-122.404079 37.787037),2020/03/02 02:41:17 PM,2025/03/16 02:20:48 AM
20027110,0,200271100,201 TURK STREET,2020/03/02,200622198,2020/03/02 02:37:04 PM,2020/03/02 02:39:24 PM,2020/03/02 02:52:43 PM,San Francisco,94102,B03,03,1456,5,18,0,0,0,0,,,,0,0,0,0,1,412 Gas leak (natural gas or LPG),N None,86 Investigate,,,,"439 Boarding/rooming house, residential hotels",,,,,,,,,,,,NA,,,,,,,,,,,,,,,5,Tenderloin,POINT (-122.412486 37.782925),2020/03/02 02:52:43 PM,2025/03/16 02:20:48 AM
20027113,0,200271130,2935 CLAY ST 3,2020/03/02,200622241,2020/03/02 02:46:35 PM,2020/03/02 02:49:34 PM,2020/03/02 02:52:03 PM,San Francisco,94115,B04,10,4232,3,10,0,0,0,0,,50,50,0,0,0,0,1,"100 Fire, other",N None,63 Restore fire alarm system,,,,419 1 or 2 family dwelling,"24 Cooking area, kitchen",2 Unintentional,NN None,,"10 Heat from powered equipment, other","76 Cooking materials, including edible materials",N None,,,,,NA,,,,,,,,,,,,,,,2,Pacific Heights,POINT (-122.4414 37.789728),2020/03/02 02:52:03 PM,2025/03/16 02:20:48 AM
20027115,0,200271150,125 CAMBON DR 12G,2020/03/02,200622244,2020/03/02 02:47:29 PM,2020/03/02 02:54:22 PM,2020/03/02 03:09:49 PM,San Francisco,94132,B08,19,8428,1,5,0,0,0,0,,,,0,0,0,0,1,554 Assist invalid,N None,71 Assist physically disabled,,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,7,Lakeshore,POINT (-122.47418 37.716828),2020/03/02 03:09:49 PM,2025/03/16 02:20:48 AM
20027116,0,200271160,1400 7TH STREET,2020/03/02,200622263,2020/03/02 02:54:50 PM,2020/03/02 03:02:36 PM,2020/03/02 03:31:50 PM,San Francisco,94107,B03,29,2414,1,5,0,0,0,0,,,,0,0,0,0,1,353 Removal of victim(s) from stalled elevator,N None,"23 Extricate, disentangle",,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,6,Mission Bay,POINT (-122.395826 37.767061),2020/03/02 03:31:50 PM,2025/03/16 02:20:48 AM
20027130,0,200271300,500 LISBON STREET,2020/03/02,200622401,2020/03/02 03:25:31 PM,2020/03/02 03:27:42 PM,2020/03/02 03:42:43 PM,San Francisco,94112,B09,43,6134,4,12,0,0,0,0,,,,0,0,0,0,1,735 Alarm system sounded due to malfunction,N None,"00 Action taken, other",,,,429 Multifamily dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,11,Excelsior,POINT (-122.434902 37.720422),2020/03/02 03:42:43 PM,2025/03/16 02:20:48 AM
20027133,0,200271330,TIFFANY AVENUE,2020/03/02,200622425,2020/03/02 03:30:50 PM,2020/03/02 03:34:20 PM,2020/03/02 03:41:43 PM,San Francisco,94110,B06,11,5611,1,4,0,0,0,0,,,,0,0,0,0,1,522 Water or steam leak,N None,86 Investigate,,,,NNN None,,,,,,,,,,,,NA,,,,,,,,,,,,,,,9,Bernal Heights,POINT (-122.420132 37.746575),2020/03/02 03:41:43 PM,2025/03/16 02:20:48 AM
20027145,0,200271450,49 CONRAD STREET,2020/03/02,200622584,2020/03/02 04:08:55 PM,2020/03/02 04:13:04 PM,2020/03/02 04:31:05 PM,San Francisco,94131,B06,26,8152,8,29,1,2,1,2,,,,0,0,0,0,1,"445 Arcing, shorted electrical equipment",N None,86 Investigate,,,,419 1 or 2 family dwelling,,,,,,,,,,,,NA,,,,,,,,,,,,,,,8,Glen Park,POINT (-122.436123 37.737846),2020/03/02 04:31:05 PM,2025/03/16 02:20:48 AM
